Описание;Решение  ;Тех. Решение 
"Требуется доступ в Медиалог
Юридическое лицо: РН-СОВРЕМЕННЫЕ ТЕХНОЛОГИИ ООО
ФИО сотрудника на русском: Черниковский Илья Леонидович
СНИЛС: 049-553-819 96
Должность: Врач-хирург 
Дата рождения: 24.07.1978
Подразделение: Хирургическое отделение
Руководитель ФИО: Гераськина Наталия Борисовна
Руководитель позиции ФИО: Булатов Алексей Юрьевич
Руководитель позиции Должность: Заведующий хирургическим отделением - врач-хирург / Хирургическое отделение 

Мобильный телефон: 8(921)657-67-56

Дата выхода на работу: 17 января 2026 г.";"Создана учётная запись сотрудника.
Логин для входа - ICHernikovskii
Пароль для входа отправлен по СМС.";"Создана учётная запись сотрудника.
Логин для входа - ICHernikovskii
Пароль для входа отправлен по СМС."
"Требуется доступ в Медиалог
Юридическое лицо: ООО ""ММЦ Профмедицина""
ФИО сотрудника на русском: Новицкая Татьяна Валерьевна
Табельный номер: 1000000471
СНИЛС: 063-887-258 07
Должность: Фельдшер
Дата рождения: 22.10.1975
Специальность по ТФОМС: Лечебное дело (средний медперсонал)
Код специальности по ТФОМС: 206
Подразделение: Врачебный здравпункт Тобольск / Отдел производственной медицины обособленного подразделения г. Тобольск / Поликлиника Тобольск / Обособленное подразделение ООО «ММЦ Профмедицина» Тобольск
Руководитель ФИО: Кипрюшина Елена Анатольевна
Руководитель позиции ФИО: Руководитель позиции не назначен
Руководитель позиции Должность: Заведующий отделом производственной медицины - врач-терапевт /Отдел производственной медицины обособленного подразделения г. Тобольск/
Мобильный телефон: 89224327243
Дата выхода на работу: 16 января 2026 г.";"Создана учётная запись сотрудника.
Логин для входа - TNovitskaia
Пароль для входа отправлен по СМС.";"Создана учётная запись сотрудника.
Логин для входа - TNovitskaia
Пароль для входа отправлен по СМС."
"Требуется доступ в Медиалог
Юридическое лицо: ООО ""ММЦ""
ФИО сотрудника на русском: Кислицын Михаил Андреевич
Табельный номер: 0000003749
СНИЛС: 072-648-786 00
Должность: Врач-травматолог-ортопед
Дата рождения: 22.02.1982
Специальность по ТФОМС: Травматология и ортопедия
Код специальности по ТФОМС: 79
Подразделение: Травматолого-ортопедическое отделение / Поликлиника / ОП ООО ""ММЦ"" МК
Руководитель ФИО: Костюк Ольга Витальевна
Руководитель позиции ФИО: Савицкий Дмитрий Святославович
Руководитель позиции Должность: Заведующий травматолого-ортопедическим отделением - врач-травматолог-ортопед /Травматолого-ортопедич
Мобильный телефон: +79140789492
Дата выхода на работу: 20 января 2026 г.";"Добрый день.
Создана учётная запись сотрудника.
Логин для входа - MKislitsyn
Пароль для входа отправлен по СМС.";"Добрый день.
Создана учётная запись сотрудника.
Логин для входа - MKislitsyn
Пароль для входа отправлен по СМС."
"Требуется доступ в Медиалог
Юридическое лицо: ООО ""ММЦ""
ФИО сотрудника на русском: Кислицын Михаил Андреевич
СНИЛС: 072-648-786 00
Должность: Оперирующий врач-травматолог-ортопед
Дата рождения: 22.02.1982

Подразделение: Хирургическое отделение / Стационар / ОП ООО ""ММЦ"" МК
Руководитель ФИО: Костюк Ольга Витальевна
Руководитель позиции ФИО: Проценко Андрей Владимирович
Руководитель позиции Должность: Заведующий хирургическим отделением - врач-хирург, оперирующий /Хирургическое отделение/

Мобильный телефон: +79140789492
Дата выхода на работу: 20 января 2026 г.";"Добрый день. Штатная единица Оперирующий врач-травматолог-ортопед ""Хирургическое отделение"" добавлена.";"Доступ в медиалог пользователю предоставлен из обращения  0000126743. 
Добрый день. Штатная единица Оперирующий врач-травматолог-ортопед ""Хирургическое отделение"" добавлена."
"Прошу предоставить доступ к подтверждению записи в ЭМК 15152467 от 21.11.2025 11:52

w15-0470-0370
тел: 7204";Добрый день, не смогла до вас дозвониться для проверки корректного подтверждения записи. Права доступа  на подтверждение записей ЭМК предоставлены до 27.01.25.;"16.01 в 12:20 совершен звонок пользователю- Не отвечает

Предоставлены права пользователю на подтверждение записей ЭМК. Было 0 стало 100.

Для корректной работы просьба перезапустить медиалог."
"Прошу дать права на редактирование записи от 21.10.2025 по ЭМК 5186 Панфилов Сергей Владимирович. Необходимо записать осмотр и выдать данные рецептурного бланка. 
W15-0470-0004
тел. 8-961-800-24-45";Добрый день, права доступа на редактирование записей в ЭМК предоставлены до 26.01.25. Для корректной работы просьба перезапустить медиалог.;"16.01 15:55 совершен звонок пользователю-не отвечает
16.01 16:20 Пользователь берет трубку просит перезвонить через 20 минут
16.01 16:40 Пользователь не отвечает

Добрый день, права доступа на редактирование записей в ЭМК предоставлены до 26.01.25. Для корректной работы просьба перезапустить медиалог. 

Количество дней на редактирование записи было 10, стало 66 дне"
"Прошу дать права на редактирование записи от 20.11.2025 по ЭМК 674042 Решетникова Лидия Владимировна. Необходимо создать осмотр и внести данные по рецепту. 
тел. 8-961-800-24-45
W15-0470-0004";Добрый день, права доступа на редактирование записей в ЭМК предоставлены до 26.01.25. Для корректной работы просьба перезапустить медиалог.;"16.01 15:00 совершен звонок пользователю-не отвечает
16.01 16:20 Пользователь берет трубку просит перезвонить через 20 минут.
16.01 16:40 Пользователь не отвечает
Добрый день, права доступа на редактирование записей в ЭМК предоставлены до 26.01.25. Для корректной работы просьба перезапустить медиалог. 
Количество дней на редактирование записи было 10 стало 66 дней."
"Необходимо предоствить права индентичные с правами постовой сестры Павлоовой Натальи Олеговны для Новых сотрудников стационара: Привалову Сергею Андреевичу медицинскому брату
Бадалян Анаит Григорьевне медицинской сестре постовой.";Добрый день, в продолжении телефонного разговора с пользователем, права доступа предоставлены, настроены модели расписаний. В случае возникших вопросов просьба обращаться по телефону 5107;"Добрый день. Права пользователям предоставлены по аналогии с Павлоовой Натальей Олеговной. Для корректной работы просьба перезагрузить Медиалог пользователям.

19.01.25 Совершен звонок инициатору для проверки корректной работы. Инициатор просит перезвонить Пользователю после 14;00 для проверки корректной работы.
15:00 19.01 Совершен звонок пользователю-Пользователь перезвонит по моему рабочему номеру 5230 до 18;00.

В каждую штатную единицу была добавлена типовая роль, которая определяет права пользователя.
""ТП ММЦ Стационар Медицинская сестра постовая""
Так же проведена консультация по настройке модели расписания, было выведено окно филиала, настроены фамилии пациентов без номера ЭМК."
"Просьба настроить рабочий стол в Медиалоге по аналогии с Доловской В.Д.
Во вложении скриншоты 1 - как сейчас, 2 - как должно быть

Номер для связи: 7634";В продолжении телефонного разговора, рабочий стол настроен, консультация оказана.;"16.01 совершен звонок пользователю

В продолжении телефонного разговора, рабочий стол настроен, консультация оказана.

Выполнена замена роли Пользователя с ""S_Медицинская сестра ВТ""  на ""S_Медицинская сестра (брат) постовая ВТ"" рабочий стол отображается корректно как на приложенном файле 2."
"Требуется доступ в Медиалог
Юридическое лицо: ООО ""ММЦ""
ФИО сотрудника на русском: Дерябина Виктория Александровна
СНИЛС: 147-803-398 84
Должность: Врач- детский уролог-андролог
Дата рождения: 16.06.1993
Подразделение: Педиатрическое отделение / Поликлиника / ОП ООО ""ММЦ"" МК
Руководитель ФИО: Костюк Ольга Витальевна
Руководитель позиции ФИО: Никитенок Анна Александровна
Руководитель позиции Должность: Заведующий педиатрическим отделением - врач-педиатр /Педиатрическое отделение/

Мобильный телефон: 8-922-329-31-31

Дата выхода на работу: 19 января 2026 г.";"Добрый день, штатная единица Врач- детский уролог-андролог "" Педиатрическое отделение"" добавлена. Для корректной работы просьба перезагрузить медиалог";"Доступ в медиалог пользователю был предоставлен ранее из обращения 0000115207.
Пользователь является совместителем необходимо добавление новой штатной единицы.

Добрый день, штатная единица Врач- детский уролог-андролог "" Педиатрическое отделение"" добавлена. Для корректной работы просьба перезагрузить медиалог."
Прошу дать права на редактирование записи в ЭМК 15167352 от 11.10.2025;В продолжении телефонного разговора с пользователем Сафронов Дмитрий Викторович, данное обращение уже не актуально.;"В продолжении телефонного разговора с пользователем Сафронов Дмитрий Викторович, данное обращение уже не актуально.

Пользователю требовался доступ на редактирование записи до 12:00 19.01.25. Сейчас история болезни уже закрыта."
"Требуется доступ в Медиалог
Юридическое лицо: РН-СОВРЕМЕННЫЕ ТЕХНОЛОГИИ ООО
ФИО сотрудника на русском: Ворожейко Ольга Васильевна
СНИЛС: 010-789-189 53
Должность: Врач-физиотерапевт
Дата рождения: 04.06.1965
Подразделение: Амбулаторно-поликлиническое отделение
Руководитель ФИО: Гераськина Наталия Борисовна
Руководитель позиции ФИО: Оразмагомедова Эльвира Вячеславовна
Руководитель позиции Должность: Заведующий амбулаторно-поликлиническим отделением-врач-терапевт / Амбулаторно-поликлиническое отделение
Мобильный телефон: +7 (911)840-04-99
Дата выхода на работу: 19 января 2026 г.";"Создана учётная запись сотрудника.
Логин для входа - OVorozheiko
Пароль для входа отправлен по СМС.";"Создана учётная запись сотрудника.
Логин для входа - OVorozheiko
Пароль для входа отправлен по СМС."
"Необходимо заведение нового сотрудника в Медиалог. Исходное обращение на прием 127312
Юридическое лицо: ООО ""ММЦ Профмедицина""
ФИО сотрудника на русском: Белова Ирина Юрьевна 
ФИО сотрудника на английском: Belova Irina
Табельный номер: 0000003583
СНИЛС: 008-769-708 92
Должность: Врач-стоматолог
Дата рождения: 31.12.1963
Специальность по ТФОМС: Стоматология общей практики
Код специальности по ТФОМС: 69
Подразделение: Отделение по проведению профосмотров КЗ / Поликлиника КЗ / Обособленное подразделение ООО «ММЦ Профмедицина» Кировский завод
Руководитель ФИО: Никольская Ольга Андреевна
Руководитель позиции ФИО: Смиричинская Александра Витальевна
Руководитель позиции Должность: Заведующий отделением по проведению профосмотров - врач-профпатолог /Отделение по проведению профосмотров КЗ/
Учетная запись пользователя компьютера (Active Directory): 
Электронный адрес: ibelova@groupmmc.ru
Мобильный телефон: +7 (911) 1378199
Дата выхода на работу: 20 января 2026 г.
GUID: f576b6f3-eb81-11ea-8075-e4434bd702aa";"Создана учётная запись сотрудника.
Логин для входа - IBelova
Пароль для входа отправлен по СМС.";"Создана учётная запись сотрудника.
Логин для входа - IBelova
Пароль для входа отправлен по СМС."
Срочно! Прошу вернуть учетную запись Олькиной ЖА в Медалоге врача КТ. Сейчас у нее доступно только врача рентген-кабинета. Должны быть обе учетки!;В продолжении телефонного разговора, штатная единица добавлена, проверена. В случае возникших вопросов просьба обращаться по телефону 5107;Добрый день, для корректной работы просьба перезапустит Медиалог. Штатная единица добавлена
"Добрый день!
Прошу предоставить доступ в эмк 114711 Дюков В.И. с целью подтверждения дневников от 30.10.2025 и 01.11.2025 ТУктарова А.М.
СпасибО!";Добрый день, права пользователю на подтверждение и редактирование записей ЭМК предоставлены до 26.01.25. Для корректной работы, просьба перезапустить медиалог.;"Предоставлены права доступа на редактирование записей ЭМК, так же предоставлен доступ на подтверждение записей ЭМК. было 20 стало 88.

Добрый день, права пользователю на подтверждение и редактирование записей ЭМК предоставлены до 26.01.25. Для корректной работы, просьба перезапустить медиалог."
"Требуется доступ в Медиалог

Юридическое лицо: РН-СОВРЕМЕННЫЕ ТЕХНОЛОГИИ ООО
ФИО сотрудника на русском: Пирогов Павел Владимирович

СНИЛС: 133-733-026 32
Дата рождения: 01.09.1987

Специальность по ТФОМС: Нейрохирургия
Код специальности по ТФОМС: 36

Должность: Врач-нейрохирург
Подразделение: Амбулаторно-поликлиническое отделение
Руководитель ФИО: Гераськина Наталия Борисовна
Руководитель позиции ФИО: Оразмагомедова Эльвира Вячеславовна
Руководитель позиции Должность: Заведующий амбулаторно-поликлиническим отделением-врач-терапевт / Амбулаторно-поликлиническое отделение

Мобильный телефон: +7(913)973-32-88
Дата выхода на работу: 19 января 2026 г.";"Добрый день, штатная единица Врач-нейрохирург ""Амбулаторно-поликлиническое отделение"" уже существует. Дополнительных действий не требуется.";"Добрый день, штатная единица Врач-нейрохирург ""Амбулаторно-поликлиническое отделение"" уже существует. Дополнительных действий не требуется."
"Прошу добавить к учетной записи aaseverinova отчет ""кабинеты в талонах""";"Добрый день, в продолжении телефонного разговора, Отчет ""кабинеты в талонах"" добавлен.";"На рабочий стол пользователя с профелем ""Руководитель отдела сервиса"" был выведен отчет ""кабинет в талонах""
Совершен звонок пользователю для проверки выведенного отчета на рабочий стол.

Добрый день, в продолжении телефонного разговора, Отчет ""кабинеты в талонах"" добавлен."
"Необходимо заведение нового сотрудника в Медиалог. Исходное обращение на прием 127373.
Юридическое лицо: ООО ""ММЦ""
ФИО сотрудника на русском: Еремеева Ольга Александровна
ФИО сотрудника на английском: Olga Eremeeva
Табельный номер: 0000000755
СНИЛС: 004-847-651 52
Должность: Врач-стоматолог детский, ведущий
Дата рождения: 13.09.1974
Специальность по ТФОМС: Стоматология детская
Подразделение: Кабинет детской стоматологии / Стоматологическое отделение / Поликлиника / ОП ООО ""ММЦ"" МК
Руководитель ФИО: Костюк Ольга Витальевна
Руководитель позиции ФИО: Руководитель позиции не назначен
Руководитель позиции Должность: Заведующий стоматологическим отделением - врач - стоматолог - терапевт /Стоматологическое отделение/
Электронный адрес: oeremeeva@sogaz-clinic.ru
Мобильный телефон: +7 (911)-180-00-18

Дата выхода на работу: 19 января 2026 г.";"Добрый день, добавлена новая штатная единица  Врач-стоматолог детский, ведущий "" Кабинет детской стоматологии"" Так же были добавлены типы записи ""Стоматолог-педиатрия""
Для корректной работы просьба перезапустить Медиалог.";"Добрый день, добавлена новая штатная единица  Врач-стоматолог детский, ведущий "" Кабинет детской стоматологии"" Так же были добавлены типы записи ""Стоматолог-педиатрия""
Для корректной работы просьба перезапустить Медиалог."
"Необходимо заведение нового сотрудника в Медиалог. Исходное обращение на прием 127449
Юридическое лицо: ООО ""ММЦ Профмедицина""
ФИО сотрудника на русском: Павленко Максим Юрьевич
ФИО сотрудника на английском: Pavlenko Maksim Yuryevich
Табельный номер: 0000002899
СНИЛС: 050-329-838 41
Должность: Врач-анестезиолог-реаниматолог
Дата рождения: 13.03.1978
Специальность по ТФОМС: Анестезиология-реаниматология
Код специальности по ТФОМС: 4
Подразделение: Эндоскопический кабинет КЗ / Поликлиническое отделение КЗ / Поликлиника КЗ / Обособленное подразделение ООО «ММЦ Профмедицина» Кировский завод
Руководитель ФИО: Никольская Ольга Андреевна
Руководитель позиции ФИО: Руководитель позиции не назначен
Руководитель позиции Должность: Заведующий поликлиническим отделением - врач-ультразвуковой диагностики /Поликлиническое отделение КЗ/
Учетная запись пользователя компьютера (Active Directory): 
Электронный адрес: MPavlenko@groupmmc.ru
Мобильный телефон: +7-911-836-47-75
Дата выхода на работу: 19 января 2026 г.
GUID: 4b7b0db1-aef8-11ee-8088-e4434bd702aa";"Добрый день, создана новая штатная единица Врач-анестезиолог-реаниматолог ""Эндоскопический кабинет КЗ""
Добавлены типы записей для врачей Анестезиологов-реаниматологов";"Добрый день, создана новая штатная единица Врач-анестезиолог-реаниматолог ""Эндоскопический кабинет КЗ""
Добавлены типы записей для врачей Анестезиологов-реаниматологов"
"Добрый день!  Прошу предоставить доступ в Медиалог к складам кардиохирургического отделения и настроить рабочий стол постовой медицинской сестры
1. склад кардиохирургического   отделения коммерция пост
2  склад кардиохирургического  отделения ОМС пост
новому сотруднику постовой медицинской сестре  кардиохирургического отделения Крыловой Анастасии Сергеевне";"Добрый день, в продолжении телефонного разговора, склады ""кардиохирургического   отделения"" были добавлены пользователю ранее из обращения на прием. Рабочий стол настроен по аналогии с коллегами роль: ""S_Медицинская сестра (брат) постовая ВТ""
В случае возникших вопросов, просьба обращаться 5107.";"Совершен звонок пользователю ""Крыловой Анастасии Сергеевне"" для уточнения точного запроса помощи.Пользователь выходит на работу 21.01.25. Связь с пользователем 21.01 в 12;00.
Инициатор обращения-не отвечает.

Совершен звонок инициатору 16:55, обращение было созданно для уточнения добавленых скалдов сотруднику, который выходит 21.01.26. По договоренности с инициатором в продолжении телефонного разговора, обращение закрываю.
 
Добрый день, в продолжении телефонного разговора, склады ""кардиохирургического   отделения"" были добавлены пользователю ранее из обращения на прием. Рабочий стол настроен по аналогии с коллегами роль: ""S_Медицинская сестра (брат) постовая ВТ""
В случае возникших вопросов, просьба обращаться 5107."
"Не открываются снимки и ленты ЭКГ.
ПК W07-0600-0787
Тел. 2743
   
<Картинка>";Добрый день, в продолжении телефонного разговора, Файлы удалось открыть, обращение закрываю. В случае возникших вопросов, просьба обращаться по телефону 5107;"Совершен звонок пользователю 11:56- перезвонить в 17-00-17:30

Пользователю был предоставлен доступ к просмотру фото,документов, файлов пдф и функциональной диагностики. Так же проверены права доступа типового пользователя. Доступы предоставлены, Для корректной работы требуется перезапустить медиалог

Добрый день, в продолжении телефонного разговора, Файлы удалось открыть, обращение закрываю. В случае возникших вопросов, просьба обращаться по телефону 5107"
"Добрый день!
Прошу добавить на рабочий стол МИС  ""Отчет по загрузке кабинетов  2""";"Добрый день, в продолжении телефонного разговора ""отчет по загрузке кабинетов 2"" выведен на рабочий стол и перенесен к остальным отчетам. Для корректной работы просьба полностью перезапустить медиалог.";"Совершена настройка рабочего стола ""ТБ - Администратор-кассир старший (импорт прикреплений)+редактирование события в расписании"" Выведена вкладка на рабочий стол пользователя ""Отчет по загрузке кабинетов 2"". Для корректной работы просьба перезапустить медиалог.

21.01.26 совершен звонок пользователю для проверки выведенной вкладки-Перезвонить 22.01.26 с 9:00

Добрый день, в продолжении телефонного разговора ""отчет по загрузке кабинетов 2"" выведен на рабочий стол и перенесен к остальным отчетам. Для корректной работы просьба полностью перезапустить медиалог."
"Прошу изменить логин на такой же как в УЗ от ПК - ovorozhejko

n11-0230-0001

тел: 3697 или +7 (911) 840-04-99";"Добрый день, логин от МИС Медиалог изменен на ovorozhejko.
Временный пароль для входа в медиалог отправлен по СМС, его можно будет сразу же поменять через зеленый карандаш справа. В случае возникших вопросов просьба обращаться 5107.";"Создана учётная запись сотрудника.
Логин для входа - ovorozhejko
Пароль для входа отправлен по СМС."
Прошу предоставить доступ к  созданию записи в эмк 12236 для последующего выставления талона за 29.09.2025 по служебной записке №  Т-ММЦ-МК-2025-12-277  от 29.12.2025.;Добрый день, в продолжении телефонного разговора прав доступа предоставлены, талон выставлен. В случае возникших вопросов, просьба обращаться 5107.;"Совершен звонок пользователю 20.01.26-15:51
Пользователю были предоставлены права в Штатную единицу Типового пользователя ""Старшая медицинская сестра"" на редактирование записей эмк было 20 стало120 дней, так же были предоставлены права на создание талонов вместо 4х дней 120 дней. Талон и запись выставлены, консультация оказана.
 
Добрый день, в продолжении телефонного разговора прав доступа предоставлены, талон выставлен. В случае возникших вопросов, просьба обращаться 5107."
"Не отображается услуга: КТ органов грудной полости, МСК органов грудной полости А06. 09. 005. 02.03.02.04.0020
Проблема у всех коллег, услуга пропала.
W11-0230-0100
т. 3679 или 3609";Добрый день, в продолжении телефонного разговора, услуга была добавлена.;"Услуги не расшиты на отделение РН-СТ-Лучевая диагностика 
Для добавление услуги необходимо обратится через руководителя в планово-экономический отдел (Группа производственного планирования и ценообразования, если это для ВММК).
Совершен звонок пользователю 11:30
Добрый день, в продолжении телефонного разговора, услуга была добавлена в виде срочного исключения."
"Прошу внести СНИЛС врачей в МИС Медиалог и МИС МЕдиалог КМП.
Данные во вложении.";"Добрый день,СНИЛС врачей из 4х списков внесен. Высылаю список архивных пользователей.
Медиалог КМК:
Бакулин Г.Г-Архив
Шевченко В.Ю-Архив
Медиалог Старый:
Садыкова О.Н-Архив
Филатов С.С-Архив";"Добрый день,СНИЛС врачей из 4х списков внесен. Высылаю список архивных пользователей.

Медиалог КМК:
Бакулин Г.Г-Архив
Шевченко В.Ю-Архив
Медиалог Старый:
Садыкова О.Н-Архив
Филатов С.С-Архив"
"Добавить тип записи ""Контроль состояния пациента после вакцинации""

Номер для связи: 2773";"Добрый день, добавлен новый тип записи  ""Контроль состояния пациента после вакцинации"" 
Для корректной работы просьба перезапустить Медиалог.";"Добрый день, добавлен новый тип записи  ""Контроль состояния пациента после вакцинации"" 
Для корректной работы просьба перезапустить Медиалог."
Предоставить права в медиалоге и настроить рабочий стол как у Хрустова С. Н.;"Добрый день. Из обращения №0000127966. Права пользователю предоставлены Ролью: РН-СТ - Врач
Для корректной работы требуется перезапустить Медиалог.";"Из обращения №0000127966. Права пользователю предоставлены Ролью: РН-СТ - Врач
Для корректной работы требуется перезапустить Медиалог."
"Добрый день!
Прошу предоставить доступ в программу МИС Медиалог для нового сотрудника Группы учета имущества, бухгалтеру Егоровой Светлане Анатольевне. С правами доступа как у Тингаевой Татьяны Васильевны.";"Создана учётная запись сотрудника.
Логин для входа - SAEgorova
Пароль для входа отправлен по СМС.";"Создана учётная запись сотрудника.
Логин для входа - SAEgorova
Пароль для входа отправлен по СМС."
"При попытке входа в медиалог появляется  ошибка нет соединения с базой данных .Прошу помочь войти в медиалог. Пароль был изменен. Техническая  поддрежка направила временный пароль для  входа, но все равно не удается  войти в медиалог. Прошу помочь со входом в медилог.
тел.8-911-840-04-99";В продолжении телефонного разговора, консультация по работе в МИС Медиалог оказана. А случае возникших проблем, просьба обращаться по телефону 5107;"Совершен звонок пользователю 20.01.26 в 16:10- Перезвонить пользователю 21.01.25 с 8:00
для помощи входа в МИС Медиалог.

Совершен звонок пользователю в 9;00- Телефон выключен.

Совершен звонок пользователю 21.01.26 - Пользователю удалось войти в Медиалог.  Проведена консультация по работе врача Физиотерапии. Редактирование и создание записи через расписание, создание записи и талона в ЭМК пациента."
"Прошу предоставить права и рабочий стол соответствующие должности врача- физиотерапевта. 
тех. 8-911-840-04-99";Добрый день, права доступа предосталены ролью: РН-СТ-Врач по аналогию с коллегами должности врач-физиотерапевт.;Добрый день, права доступа предосталены ролью: РН-СТ-Врач по аналогию с коллегами должности врач-физиотерапевт.
"Требуется доступ в Медиалог
Юридическое лицо: ООО ""ММЦ Профмедицина""
ФИО сотрудника на русском: Лавров Александр Николаевич
СНИЛС: 175-684-855 29
Должность: Фельдшер скорой медицинской помощи
Дата рождения: 29.02.1996
Подразделение: Группа проекта ""ГПН-ГЕО г. Оренбург"" / Отделение производственной медицины КЗ / Поликлиника КЗ / Обособленное подразделение Клиника ""ММЦ"" Кировский завод
Руководитель ФИО: Никольская Ольга Андреевна
Руководитель позиции ФИО: Герцус Лайма Михайловна
Руководитель позиции Должность: Руководитель проекта /Проектный офис ""ГПН-ГЕО""/

Мобильный телефон: +7 (912) 235-42-96

Дата выхода на работу: 10 февраля 2026 г.";"Создана учётная запись сотрудника.
Логин для входа - ALavrov
Пароль для входа отправлен по СМС.";"Создана учётная запись сотрудника.
Логин для входа - ALavrov
Пароль для входа отправлен по СМС."
"В расписании стоит реабилитация, а должно быть педиатрия.
Старшая мед. сестра видит в расписании.

<Картинка>";"Из обращения №0000128898 пользователь перенесен в расписание ""_Дети-общая модель""
Дополнительных действий не требуется.";"Из обращения №0000128898 пользователь перенесен в расписание ""_Дети-общая модель""
Дополнительных действий не требуется."
"Требуется доступ в Медиалог
Юридическое лицо: ООО ""ММЦ""
ФИО сотрудника на русском: Жирылеев Алексей Алексеевич
СНИЛС: 069-306-548 83
Должность: Врач- детский хирург
Дата рождения: 12.06.1982
Подразделение: Педиатрическое отделение / Поликлиника / ОП ООО ""ММЦ"" МК
Руководитель ФИО: Костюк Ольга Витальевна
Руководитель позиции ФИО: Никитенок Анна Александровна
Руководитель позиции Должность: Заведующий педиатрическим отделением - врач-педиатр /Педиатрическое отделение/
Мобильный телефон: +7 (921) 407-14-95
Дата выхода на работу: 20 января 2026 г.";"Добрый день, штатная единица  Врач- детский хирург ""педиатрическое отделение"" уже имеется. Дополнительных действий не требуется.";"Добрый день, штатная единица  Врач- детский хирург ""педиатрическое отделение"" уже имеется. Дополнительных действий не требуется."
"Прошу предоставить доступ к складам:
1. Склад терапевтического отделения пост (ОМС)
2. Склад терапевтического отделения пост (коммерция)
следующим сотрудникам:
Ахмадуллина Наталья Михайловна
Баннова Татьяна Викторовна
Безмен Диана Михайловна
Гусейнова Алина Рустамовна
Журкина София Борисовна
Игнатьева Анастасия Вадимовна
Логинова Анастасия Антоновна
Ляпунова Алена Игоревна
Пешина Анна Сергеевна
Чубаков Александр Дмитриевич
Козлова Софья Сергеевна";Добрый день, 1. Склад терапевтического отделения пост (ОМС) 2. Склад терапевтического отделения пост (коммерция) Добавлены представленному списку пользователей.Для корректной работы просьба перезапустить Медиалог.;Добрый день, 1. Склад терапевтического отделения пост (ОМС) 2. Склад терапевтического отделения пост (коммерция) Добавлены представленному списку пользователей.Для корректной работы просьба перезапустить Медиалог.
